# 2017-02-25 17:40:17.479122
# CT_x9
#  path: ../data_final/CT_x9/
#  thresholds: -444.68, 332.0
#  DC-average: 0.9737 (radius = 4)
#  DC-average (opti): 0.9737 (bestRadius: 3.98)
# MR_x9
#  path: ../data_final/MR_x9/
#  thresholds: 690.36, 2078.0
#  DC-average: 0.8779 (radius = 2)
#  DC-average (opti): 0.9016 (bestRadius: 2.1)
#  DC-average (CT-COM): 0.7542
#  DC-average (CT-COM, opti): 0.7656
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
 95     -0.0631     -0.5517     0.5553     0.9693     0.9693     0.9132     0.9537     0.7849     0.8028     0.0482     0.0257
 96     -0.0663     -0.5531     0.5571     0.9694     0.9694     0.9098     0.9574     0.7895     0.8069     0.0503     0.0237
 97     -0.049     -0.5684     0.5705     0.9715     0.9715     0.9098     0.9574     0.7895     0.8069     0.0515     0.0243
 98     -0.0606     -0.5739     0.5771     0.9714     0.9714     0.9098     0.9574     0.7895     0.8069     0.0521     0.0246
 99     -0.0605     -0.5583     0.5615     0.9736     0.9736     0.9098     0.9574     0.7895     0.8069     0.0507     0.0239
100     -0.0669     -0.5726     0.5765     0.9705     0.9705     0.9098     0.9574     0.7895     0.8069     0.052     0.0245
101     -0.0601     -0.5801     0.5832     0.9714     0.9714     0.9098     0.9574     0.7895     0.8069     0.0526     0.0248
102     -0.0577     -0.5692     0.5721     0.9714     0.9714     0.9098     0.9574     0.7895     0.8069     0.0516     0.0243
103     -0.0519     -0.559     0.5614     0.9704     0.9704     0.9098     0.9574     0.7895     0.8069     0.0507     0.0239
104     -0.0615     -0.5754     0.5787     0.9768     0.9768     0.9132     0.9609     0.7925     0.8097     0.0502     0.0227
105     -0.0556     -0.5698     0.5726     0.9735     0.9735     0.9091     0.9571     0.7879     0.8056     0.0521     0.0245
106     -0.047     -0.573     0.5749     0.9778     0.9778     0.9091     0.9571     0.7879     0.8056     0.0523     0.0246
107     -0.0531     -0.5691     0.5715     0.9747     0.9747     0.9091     0.9571     0.7879     0.8056     0.052     0.0245
108     -0.0561     -0.5701     0.5729     0.981     0.981     0.9091     0.9571     0.7879     0.8056     0.0521     0.0246
109     -0.0625     -0.5649     0.5683     0.9768     0.9768     0.9132     0.9609     0.7925     0.8097     0.0493     0.0222
110     -0.0576     -0.5691     0.572     0.9778     0.9778     0.9132     0.9609     0.7925     0.8097     0.0496     0.0224
111     -0.0469     -0.5773     0.5792     0.9779     0.9779     0.9132     0.9609     0.7925     0.8097     0.0503     0.0227
112     -0.0526     -0.5732     0.5756     0.9768     0.9768     0.9132     0.9609     0.7925     0.8097     0.05     0.0225
113     -0.067     -0.5598     0.5638     0.9778     0.9778     0.9098     0.9574     0.797     0.8138     0.0509     0.024
114     -0.0616     -0.5692     0.5725     0.9778     0.9778     0.9098     0.9574     0.797     0.8138     0.0517     0.0244
115     -0.0553     -0.5555     0.5583     0.9811     0.9811     0.9064     0.9541     0.8015     0.8179     0.0523     0.0256
116     -0.0545     -0.5777     0.5803     0.9801     0.9801     0.9064     0.9541     0.8015     0.8179     0.0543     0.0267
117     -0.0528     -0.5761     0.5785     0.9821     0.9821     0.9064     0.9541     0.8015     0.8179     0.0542     0.0266
118     -0.0503     -0.5696     0.5718     0.9822     0.9822     0.903     0.9507     0.806     0.8219     0.0555     0.0282
119     -0.0441     -0.5828     0.5845     0.98     0.98     0.8989     0.947     0.8015     0.8179     0.0591     0.031
120     -0.0585     -0.5862     0.5891     0.9832     0.9832     0.903     0.9507     0.806     0.8219     0.0572     0.029
121     -0.0394     -0.5813     0.5826     0.9799     0.9799     0.903     0.9507     0.806     0.8219     0.0565     0.0287
122     -0.0539     -0.5889     0.5914     0.9821     0.9821     0.8989     0.947     0.8015     0.8179     0.0598     0.0313
123     -0.0465     -0.5979     0.5997     0.9799     0.9799     0.903     0.9507     0.806     0.8219     0.0582     0.0296
124     -0.0387     -0.6071     0.6083     0.9811     0.9811     0.903     0.9507     0.806     0.8219     0.059     0.03
125     -0.0414     -0.6227     0.6241     0.9864     0.9864     0.8996     0.9474     0.803     0.8191     0.0626     0.0328
126     -0.0272     -0.6296     0.6302     0.9863     0.9863     0.8996     0.9474     0.803     0.8191     0.0633     0.0332
127     -0.0205     -0.6166     0.6169     0.9874     0.9874     0.8996     0.9544     0.7955     0.8123     0.0619     0.0281
128     -0.0131     -0.6118     0.6119     0.9863     0.9863     0.8996     0.9544     0.7955     0.8123     0.0614     0.0279
129     -0.0228     -0.5993     0.5998     0.9874     0.9874     0.8996     0.9544     0.7955     0.8123     0.0602     0.0274
130     -0.0325     -0.6181     0.619     0.9885     0.9885     0.8996     0.9544     0.7955     0.8123     0.0621     0.0282
131     -0.0252     -0.6061     0.6067     0.9853     0.9853     0.8996     0.9544     0.7955     0.8123     0.0609     0.0277
132     -0.0313     -0.6138     0.6146     0.9853     0.9853     0.8996     0.9544     0.7955     0.8123     0.0617     0.028
133     -0.0245     -0.6091     0.6096     0.9863     0.9863     0.8963     0.951     0.8     0.8163     0.0632     0.0298
134     -0.0234     -0.601     0.6015     0.9863     0.9863     0.8963     0.951     0.8     0.8163     0.0624     0.0294
135     -0.0224     -0.6085     0.6089     0.9874     0.9874     0.8963     0.951     0.8     0.8163     0.0631     0.0298
136     -0.0289     -0.6278     0.6285     0.9863     0.9863     0.8996     0.9544     0.803     0.8191     0.0631     0.0287
137     -0.0283     -0.613     0.6137     0.9874     0.9874     0.8996     0.9544     0.803     0.8191     0.0616     0.028
138     -0.0304     -0.6228     0.6235     0.9884     0.9884     0.8996     0.9544     0.803     0.8191     0.0626     0.0284
139     -0.0268     -0.603     0.6036     0.9863     0.9863     0.8996     0.9544     0.803     0.8191     0.0606     0.0275
