# 2017-01-13 18:03:14.757318
# CT_x100
#  path: ../data_final/CT_x100/
#  thresholds: -457.4, 329.0
#  dc-average: 0.99 (radius = 4)
#  dc-average (opti): 0.99 (bestRadius: 4.0)
# MR_x100
#  path: ../data_final/MR_x100/
#  thresholds: 707.85, 2095.0
#  dc-average: 0.8977 (radius = 2)
#  dc-average (opti): 0.9247 (bestRadius: 2.12)
#  dc-average (CT-COM): 0.783
#  dc-average (CT-COM, opti): 0.7872
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM
107     -0.0513     -0.5709     0.5731     0.9937     0.9937     0.9065     0.9587     0.8195     0.8261
108     -0.0547     -0.5722     0.5748     0.9942     0.9942     0.9058     0.9581     0.8203     0.8269
109     -0.0615     -0.5669     0.5702     0.9927     0.9927     0.9061     0.9578     0.8206     0.8265
110     -0.0564     -0.5713     0.574     0.9929     0.9929     0.9065     0.9574     0.8208     0.8268
111     -0.0459     -0.5797     0.5815     0.9923     0.9923     0.9058     0.9568     0.821     0.8269
112     -0.0512     -0.5752     0.5774     0.9934     0.9934     0.9061     0.9571     0.8213     0.8271
113     -0.0653     -0.5624     0.5662     0.9946     0.9946     0.9068     0.9565     0.8211     0.827
114     -0.0596     -0.5713     0.5744     0.993     0.993     0.9071     0.9561     0.8214     0.8273
115     -0.0541     -0.5577     0.5603     0.9939     0.9939     0.9065     0.9555     0.8222     0.8281
116     -0.0537     -0.5799     0.5824     0.993     0.993     0.9071     0.9549     0.8228     0.8286
117     -0.0521     -0.5785     0.5809     0.9932     0.9932     0.9068     0.9545     0.8239     0.8296
118     -0.0501     -0.5719     0.574     0.9922     0.9922     0.9058     0.951     0.8243     0.83
119     -0.0437     -0.5851     0.5867     0.9873     0.9873     0.9058     0.951     0.796     0.8026
120     -0.0582     -0.5883     0.5911     0.9879     0.9879     0.9064     0.951     0.7952     0.8018
121     -0.0396     -0.5839     0.5852     0.9914     0.9914     0.9061     0.9507     0.8232     0.829
122     -0.0528     -0.591     0.5934     0.987     0.987     0.9071     0.9536     0.7952     0.8012
123     -0.046     -0.6002     0.6019     0.9882     0.9882     0.9065     0.9536     0.7946     0.8007
124     -0.0381     -0.6092     0.6104     0.9896     0.9896     0.9065     0.9536     0.7946     0.8007
125     -0.0419     -0.624     0.6254     0.9913     0.9913     0.9065     0.9536     0.7946     0.8007
126     -0.0276     -0.6307     0.6313     0.99     0.99     0.9065     0.9536     0.7946     0.8007
