# 2017-01-16 22:57:57.881992
# CT_x1
#  path: ../data_final/CT_x1/
#  thresholds: -430.61, 333.0
#  dc-average: 0.861 (radius = 4)
#  dc-average (opti): 0.8671 (bestRadius: 4.04)
# MR_x1
#  path: ../data_final/MR_x1/
#  thresholds: 630.99, 2079.0
#  dc-average: 0.7049 (radius = 2)
#  dc-average (opti): 0.751 (bestRadius: 2.2)
#  dc-average (CT-COM): 0.5954
#  dc-average (CT-COM, opti): 0.6416
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM  warpDC  warpDC_opti
 82     -0.0353     -0.5815     0.5826     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2067     0.1643
 83     -0.0312     -0.5773     0.5781     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2051     0.1631
 84     -0.0161     -0.5718     0.572     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.203     0.1613
 85     -0.0203     -0.574     0.5743     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2038     0.162
 86     -0.0074     -0.6002     0.6002     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.213     0.1693
 87     -0.0091     -0.5844     0.5845     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2074     0.1649
 88     -0.0099     -0.5507     0.5508     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.1954     0.1554
 89     -0.0189     -0.5609     0.5612     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.1991     0.1583
 90     -0.0075     -0.5364     0.5365     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1788     0.1412
 91     -0.0029     -0.5519     0.5519     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.184     0.1452
 92     -0.0171     -0.5377     0.5379     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1793     0.1416
 93     -0.0222     -0.5466     0.547     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1823     0.1439
 94     -0.0188     -0.546     0.5464     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1821     0.1438
 95     -0.0236     -0.5348     0.5354     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1785     0.1409
 96     -0.0293     -0.5425     0.5433     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1811     0.143
 97     -0.0101     -0.5633     0.5634     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1878     0.1483
 98     -0.0239     -0.5642     0.5647     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1882     0.1486
 99     -0.0219     -0.5448     0.5452     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1817     0.1435
100     -0.0258     -0.5609     0.5615     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1872     0.1478
101     -0.0202     -0.5719     0.5723     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1908     0.1506
102     -0.0186     -0.5614     0.5617     0.8713     0.8624     0.6667     0.7368     0.6667     0.7368     0.1872     0.1478
103     -0.0148     -0.5523     0.5525     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1842     0.1454
104     -0.0219     -0.5646     0.5651     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1884     0.1487
105     -0.0132     -0.5586     0.5588     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1863     0.147
106     -0.0068     -0.5627     0.5627     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1876     0.1481
107     -0.0144     -0.5619     0.5621     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1874     0.1479
108     -0.0158     -0.5642     0.5644     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1881     0.1485
109     -0.0254     -0.5544     0.555     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.185     0.146
110     -0.0224     -0.5609     0.5613     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1871     0.1477
111     -0.0073     -0.5672     0.5673     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1891     0.1493
112     -0.0159     -0.5619     0.5621     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.1874     0.1479
113     -0.0298     -0.5511     0.5519     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.184     0.1452
114     -0.0228     -0.5584     0.5588     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.1863     0.1471
115     -0.0172     -0.5466     0.5468     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1823     0.1439
116     -0.0163     -0.569     0.5692     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.1897     0.1498
117     -0.0092     -0.5718     0.5719     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1906     0.1505
118     -0.0094     -0.5639     0.564     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.188     0.1484
119     -0.0042     -0.5784     0.5784     0.88     0.8704     0.6667     0.7368     0.6667     0.7368     0.1928     0.1522
120     -0.0217     -0.5817     0.5821     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.194     0.1532
121     -0.0023     -0.5778     0.5778     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.1926     0.152
122     -0.0152     -0.5844     0.5846     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.1949     0.1538
123     -0.0078     -0.5894     0.5895     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.1965     0.1551
124     0.0004     -0.6017     0.6017     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.2006     0.1583
125     -0.0047     -0.6192     0.6192     0.8713     0.8807     0.6667     0.7368     0.6667     0.7368     0.2064     0.1629
126     0.0113     -0.6228     0.6229     0.8824     0.8909     0.6452     0.7179     0.6452     0.7179     0.221     0.1757
127     0.0195     -0.6059     0.6062     0.8713     0.8807     0.6452     0.7179     0.6452     0.7179     0.2151     0.171
128     0.0245     -0.6036     0.6041     0.8824     0.8909     0.6452     0.7179     0.6452     0.7179     0.2144     0.1704
