# 2017-01-13 12:52:22.905976
# CT_x9
#  path: ../data_final/CT_x9/
#  thresholds: -444.68, 332.0
#  dc-average: 0.973709795561
#  dc-average (opti): 0.973709795561
# MR_x9
#  path: ../data_final/MR_x9/
#  thresholds: 690.36, 2078.0
#  dc-average: 0.877861343154
#  dc-average (opti): 0.901612864937
#  dc-average (CT-COM): 0.754198594615
#  dc-average (CT-COM, opti): 0.754538977597
# 
sliceNumber   warp_X   warp_Y   warpMagnitude   dc_CT   dc_CT_opti   dc_MR   dc_MR_opti   dc_MR_CT-COM   dc_MR_opti_CT-COM
169   0.0099   -0.6992   0.6993   0.9537   0.9537   0.8996   0.9544   0.6989   0.7256
170   0.0085   -0.696   0.6961   0.9517   0.9517   0.903   0.9577   0.7015   0.7278
171   0.0103   -0.6864   0.6865   0.9517   0.9517   0.903   0.9577   0.7015   0.7278
172   0.0176   -0.6795   0.6797   0.9521   0.9521   0.9064   0.9541   0.6966   0.7238
173   -1.0   -1.0   -1.0   -1.0   -1.0   0.903   0.9577   -1.0   -1.0
174   -1.0   -1.0   -1.0   -1.0   -1.0   0.903   0.9577   -1.0   -1.0
175   -1.0   -1.0   -1.0   -1.0   -1.0   0.8996   0.9544   -1.0   -1.0
176   -1.0   -1.0   -1.0   -1.0   -1.0   0.8996   0.9544   -1.0   -1.0
177   -1.0   -1.0   -1.0   -1.0   -1.0   0.8996   0.9544   -1.0   -1.0
178   -1.0   -1.0   -1.0   -1.0   -1.0   0.8996   0.9544   -1.0   -1.0
179   -1.0   -1.0   -1.0   -1.0   -1.0   0.8996   0.9544   -1.0   -1.0
180   -1.0   -1.0   -1.0   -1.0   -1.0   0.8996   0.9544   -1.0   -1.0
181   -1.0   -1.0   -1.0   -1.0   -1.0   0.903   0.9577   -1.0   -1.0
182   -1.0   -1.0   -1.0   -1.0   -1.0   0.903   0.9577   -1.0   -1.0
183   -1.0   -1.0   -1.0   -1.0   -1.0   0.8989   0.9541   -1.0   -1.0
184   -1.0   -1.0   -1.0   -1.0   -1.0   0.9023   0.9504   -1.0   -1.0
185   -1.0   -1.0   -1.0   -1.0   -1.0   0.9023   0.9504   -1.0   -1.0
186   -1.0   -1.0   -1.0   -1.0   -1.0   0.9023   0.9504   -1.0   -1.0
187   -1.0   -1.0   -1.0   -1.0   -1.0   0.9023   0.9504   -1.0   -1.0
188   -1.0   -1.0   -1.0   -1.0   -1.0   0.9057   0.9466   -1.0   -1.0
189   -1.0   -1.0   -1.0   -1.0   -1.0   0.9057   0.9466   -1.0   -1.0
190   -1.0   -1.0   -1.0   -1.0   -1.0   0.9057   0.9466   -1.0   -1.0
191   -1.0   -1.0   -1.0   -1.0   -1.0   0.9057   0.9466   -1.0   -1.0
192   -1.0   -1.0   -1.0   -1.0   -1.0   0.9057   0.9466   -1.0   -1.0
193   -1.0   -1.0   -1.0   -1.0   -1.0   0.9057   0.9466   -1.0   -1.0
194   0.0438   -0.708   0.7093   0.9551   0.9551   0.883   0.8968   0.7019   0.722
195   0.0419   -0.7038   0.705   0.955   0.955   0.883   0.8968   0.7019   0.722
196   0.0386   -0.7024   0.7035   0.9559   0.9559   0.883   0.8968   0.7019   0.722
197   0.0397   -0.6954   0.6965   0.9559   0.9559   0.883   0.8968   0.7019   0.722
198   0.041   -0.6936   0.6948   0.9579   0.9579   0.8906   0.9039   0.7094   0.7284
199   0.0446   -0.6907   0.6922   0.9579   0.9579   0.8947   0.9078   0.7143   0.7325
200   0.0514   -0.6967   0.6986   0.9579   0.9579   0.8939   0.9071   0.7121   0.7308
201   0.0569   -0.7008   0.7031   0.9579   0.9579   0.8897   0.9032   0.7072   0.7267
202   0.0606   -0.7051   0.7077   0.9599   0.9599   0.8897   0.9032   0.7072   0.7267
203   0.0665   -0.696   0.6991   0.9589   0.9589   0.8897   0.9032   0.7072   0.7267
204   0.0715   -0.6945   0.6982   0.9588   0.9588   0.8931   0.8993   0.7023   0.7226
205   0.0739   -0.6965   0.7004   0.9599   0.9599   0.8931   0.8993   0.7023   0.7226
206   0.0741   -0.6929   0.6969   0.9599   0.9599   0.8931   0.8993   0.7023   0.7226
207   0.0684   -0.6949   0.6982   0.9599   0.9599   0.8966   0.9025   0.705   0.7249
208   0.0724   -0.6939   0.6977   0.9588   0.9588   0.8966   0.9025   0.705   0.7249
209   0.0722   -0.6868   0.6906   0.96   0.96   0.8966   0.9025   0.705   0.7249
210   0.0755   -0.682   0.6862   0.959   0.959   0.8966   0.9025   0.705   0.7249
211   0.0719   -0.6836   0.6874   0.961   0.961   0.8966   0.9025   0.705   0.7249
212   0.0743   -0.6952   0.6992   0.959   0.959   0.9   0.9058   0.7077   0.7273
213   0.0746   -0.6893   0.6934   0.961   0.961   0.8966   0.9097   0.7126   0.7314
214   0.0667   -0.6845   0.6878   0.9589   0.9589   0.9008   0.9137   0.7176   0.7355
215   0.0738   -0.677   0.681   0.96   0.96   0.9008   0.9137   0.7176   0.7355
216   0.0688   -0.6644   0.668   0.9578   0.9578   0.9008   0.9137   0.7176   0.7355
217   0.0738   -0.668   0.672   0.96   0.96   0.9008   0.9137   0.7176   0.7355
218   0.0784   -0.6637   0.6684   0.9588   0.9588   0.9077   0.9203   0.7231   0.7403
219   0.0735   -0.6522   0.6563   0.96   0.96   0.9042   0.9242   0.728   0.7443
220   0.084   -0.6694   0.6746   0.9611   0.9611   0.9112   0.9236   0.7259   0.7427
221   0.0854   -0.6786   0.684   0.963   0.963   0.9112   0.9236   0.7259   0.7427
222   0.095   -0.6715   0.6782   0.9578   0.9578   0.9112   0.9236   0.7259   0.7427
223   0.1044   -0.6748   0.6828   0.9599   0.9599   0.9112   0.9236   0.7259   0.7427
224   0.0996   -0.6879   0.695   0.9609   0.9609   0.9141   0.9118   0.7188   0.7303
225   0.0937   -0.6948   0.7011   0.9631   0.9631   0.9055   0.9037   0.7244   0.7219
226   0.0937   -0.6784   0.6848   0.9589   0.9589   0.9091   0.9071   0.7273   0.7243
227   0.0943   -0.6762   0.6827   0.962   0.962   0.9105   0.9158   0.7315   0.7344
228   0.08   -0.6618   0.6666   0.9578   0.9578   0.9147   0.9197   0.7287   0.7386
229   0.0774   -0.6475   0.6521   0.9598   0.9598   0.9112   0.9236   0.7259   0.7427
230   0.0765   -0.638   0.6425   0.9579   0.9579   0.9077   0.9275   0.7308   0.7468
231   0.0823   -0.6542   0.6594   0.9609   0.9609   0.9084   0.9353   0.7328   0.7548
232   0.0902   -0.6254   0.6318   0.9621   0.9621   0.9049   0.9391   0.7376   0.7588
233   0.0872   -0.6178   0.6239   0.9599   0.9599   0.9084   0.9424   0.7405   0.7613
234   0.0913   -0.6122   0.619   0.9621   0.9621   0.9049   0.9391   0.7452   0.7653
235   0.085   -0.6065   0.6124   0.9588   0.9588   0.8981   0.9466   0.7547   0.7732
236   0.0921   -0.57   0.5773   0.9579   0.9579   0.8981   0.9466   0.7547   0.7732
237   0.0936   -0.5485   0.5564   0.962   0.962   0.9057   0.9537   0.7623   0.7796
238   0.0936   -0.5387   0.5468   0.9599   0.9599   0.9057   0.9537   0.7623   0.7796
239   0.1082   -0.5479   0.5585   0.9631   0.9631   0.9091   0.9571   0.7652   0.7821
240   0.1116   -0.5284   0.5401   0.962   0.962   0.9091   0.95   0.7727   0.7821
241   0.1141   -0.4998   0.5126   0.9632   0.9632   0.9125   0.9534   0.7757   0.7846
242   0.1227   -0.47   0.4857   0.9652   0.9652   0.9119   0.9531   0.7739   0.7832
243   0.1133   -0.4476   0.4618   0.9642   0.9642   0.8769   0.8841   0.7769   0.7792
244   0.1031   -0.4241   0.4364   0.9631   0.9631   0.8872   0.8864   0.7938   0.7803
245   0.0994   -0.3936   0.406   0.9641   0.9641   0.8984   0.8971   0.8047   0.7895
246   0.1084   -0.3533   0.3696   0.9642   0.9642   0.9062   0.9044   0.8125   0.7961
247   0.1092   -0.3408   0.3578   0.9631   0.9631   0.9062   0.9044   0.8125   0.7961
248   0.112   -0.3322   0.3506   0.9598   0.9598   0.9035   0.9236   0.8185   0.8143
249   0.1108   -0.338   0.3557   0.9588   0.9588   0.9077   0.9275   0.8231   0.8182
250   0.1095   -0.3261   0.3439   0.961   0.961   0.9119   0.9314   0.8276   0.822
251   0.1092   -0.3347   0.3521   0.9621   0.9621   0.9015   0.9429   0.8409   0.8333
252   0.1074   -0.3286   0.3458   0.9642   0.9642   0.8981   0.9466   0.8453   0.8371
253   0.0915   -0.3397   0.3518   0.9653   0.9653   0.9015   0.9429   0.8409   0.8333
254   0.103   -0.3444   0.3595   0.9642   0.9642   0.9049   0.9247   0.8213   0.8167
255   0.0966   -0.3739   0.3862   0.963   0.963   0.9015   0.9214   0.8182   0.8141
256   0.097   -0.3856   0.3976   0.9621   0.9621   0.8966   0.9025   0.7969   0.7961
257   0.1092   -0.3972   0.4119   0.9631   0.9631   0.8966   0.9025   0.7969   0.7961
258   0.1178   -0.4338   0.4495   0.9641   0.9641   0.8846   0.8913   0.7846   0.7857
259   0.118   -0.4626   0.4774   0.9652   0.9652   0.8837   0.8832   0.7829   0.7778
260   0.1231   -0.4647   0.4807   0.9642   0.9642   0.9154   0.9493   0.7769   0.7792
261   0.1278   -0.4571   0.4746   0.9643   0.9643   0.9154   0.9493   0.7769   0.7792
262   0.1267   -0.4837   0.5   0.9664   0.9664   0.9084   0.9424   0.7786   0.7806
263   0.1271   -0.4928   0.5089   0.9653   0.9653   0.9049   0.9391   0.7757   0.7781
264   0.1376   -0.4944   0.5131   0.9642   0.9642   0.9091   0.9429   0.7803   0.7821
265   0.1294   -0.485   0.5019   0.9642   0.9642   0.9057   0.9395   0.7849   0.7859
266   0.1223   -0.5142   0.5285   0.9652   0.9652   0.9023   0.9433   0.782   0.7898
