# 2017-01-17 14:59:40.310514
# CT_x25
#  path: ../data_final/CT_x25/
#  thresholds: -457.88, 331.0
#  DC-average: 0.9771 (radius = 4)
#  DC-average (opti): 0.9771 (bestRadius: 4.0)
# MR_x25
#  path: ../data_final/MR_x25/
#  thresholds: 705.15, 2087.0
#  DC-average: 0.8943 (radius = 2)
#  DC-average (opti): 0.9145 (bestRadius: 2.16)
#  DC-average (CT-COM): 0.7664
#  DC-average (CT-COM, opti): 0.7715
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
 62     -0.0882     -0.6872     0.6928     0.9832     0.9832     0.9224     0.9406     0.7618     0.769     0.0537     0.0412
 63     -0.0848     -0.6671     0.6725     0.9806     0.9806     0.9224     0.9432     0.7645     0.7717     0.0522     0.0382
 64     -0.0744     -0.6512     0.6555     0.9813     0.9813     0.9199     0.9459     0.768     0.7749     0.0525     0.0355
 65     -0.0734     -0.6385     0.6427     0.9802     0.9802     0.9199     0.951     0.7735     0.7801     0.0515     0.0315
 66     -0.0716     -0.6446     0.6485     0.9821     0.9821     0.9199     0.951     0.7735     0.7801     0.052     0.0318
 67     -0.056     -0.6568     0.6592     0.9798     0.9798     0.9199     0.9536     0.7762     0.7827     0.0528     0.0306
 68     -0.0634     -0.65     0.6531     0.9795     0.9795     0.9212     0.9548     0.7773     0.7837     0.0515     0.0295
 69     -0.068     -0.6395     0.6431     0.9814     0.9814     0.9224     0.9587     0.7812     0.7874     0.0499     0.0266
 70     -0.0617     -0.6292     0.6322     0.9814     0.9814     0.9224     0.9587     0.7839     0.79     0.049     0.0261
 71     -0.0689     -0.6171     0.6209     0.9817     0.9817     0.925     0.9637     0.7889     0.7947     0.0466     0.0225
 72     -0.0671     -0.6271     0.6306     0.9821     0.9821     0.925     0.9637     0.7917     0.7974     0.0473     0.0229
 73     -0.062     -0.6215     0.6246     0.9833     0.9833     0.9237     0.9651     0.7933     0.7989     0.0476     0.0218
 74     -0.0663     -0.6098     0.6134     0.9825     0.9825     0.9086     0.938     0.795     0.8005     0.0561     0.038
 75     -0.0727     -0.6069     0.6112     0.9829     0.9829     0.9086     0.938     0.795     0.8005     0.0559     0.0379
 76     -0.0761     -0.5923     0.5972     0.9829     0.9829     0.9086     0.938     0.795     0.8005     0.0546     0.037
 77     -0.072     -0.5818     0.5862     0.9836     0.9836     0.9098     0.9392     0.7961     0.8016     0.0528     0.0356
 78     -0.0738     -0.6001     0.6046     0.9833     0.9833     0.9098     0.9392     0.7961     0.8016     0.0545     0.0368
 79     -0.0812     -0.6075     0.6129     0.9832     0.9832     0.9098     0.9392     0.7961     0.8016     0.0553     0.0373
 80     -0.0689     -0.602     0.606     0.9837     0.9837     0.9124     0.939     0.8011     0.8063     0.0531     0.0369
 81     -0.0815     -0.5922     0.5977     0.9833     0.9833     0.9098     0.9366     0.8072     0.8121     0.0539     0.0379
 82     -0.0757     -0.5945     0.5993     0.9836     0.9836     0.9098     0.9366     0.81     0.8147     0.054     0.038
 83     -0.0697     -0.5942     0.5983     0.9825     0.9825     0.9086     0.9354     0.8116     0.8163     0.0547     0.0386
 84     -0.0583     -0.5855     0.5884     0.9817     0.9817     0.9098     0.9366     0.8128     0.8173     0.053     0.0373
 85     -0.0608     -0.5834     0.5865     0.9805     0.9805     0.9098     0.9366     0.8155     0.82     0.0529     0.0372
 86     -0.048     -0.6075     0.6094     0.9661     0.9661     0.8975     0.9225     0.7618     0.769     0.0625     0.0472
 87     -0.0492     -0.5975     0.5996     0.9673     0.9673     0.8978     0.9253     0.7652     0.7723     0.0613     0.0448
 88     -0.051     -0.565     0.5673     0.981     0.981     0.8978     0.9253     0.8204     0.8246     0.058     0.0424
 89     -0.0555     -0.5752     0.5779     0.9673     0.9673     0.8966     0.9266     0.7669     0.7739     0.0598     0.0424
 90     -0.0508     -0.5511     0.5535     0.9813     0.9813     0.8993     0.9292     0.8248     0.8288     0.0557     0.0392
 91     -0.0467     -0.5645     0.5664     0.968     0.968     0.9018     0.9316     0.7718     0.7785     0.0556     0.0387
 92     -0.0571     -0.5527     0.5557     0.9829     0.9829     0.9018     0.9316     0.8271     0.8309     0.0546     0.038
 93     -0.0624     -0.5564     0.5599     0.971     0.971     0.9018     0.9316     0.7718     0.7785     0.055     0.0383
 94     -0.0567     -0.5559     0.5588     0.9695     0.9695     0.9046     0.9368     0.7801     0.7864     0.0533     0.0353
 95     -0.0615     -0.5503     0.5537     0.9691     0.9691     0.9033     0.9356     0.779     0.7853     0.0535     0.0357
 96     -0.0655     -0.5526     0.5564     0.9718     0.9718     0.9033     0.9356     0.7818     0.788     0.0538     0.0359
 97     -0.0486     -0.569     0.5711     0.9725     0.9725     0.9033     0.9356     0.7818     0.788     0.0552     0.0368
 98     -0.0598     -0.5748     0.5779     0.9734     0.9734     0.9023     0.9397     0.7868     0.7927     0.0564     0.0349
 99     -0.0596     -0.559     0.5622     0.973     0.973     0.9036     0.9409     0.7879     0.7937     0.0542     0.0332
100     -0.0651     -0.5729     0.5766     0.973     0.973     0.9036     0.9409     0.7879     0.7937     0.0556     0.0341
101     -0.0586     -0.5797     0.5826     0.9703     0.9703     0.9023     0.9397     0.7868     0.7927     0.0569     0.0352
102     -0.0558     -0.5688     0.5715     0.9722     0.9722     0.9023     0.9397     0.7868     0.7927     0.0558     0.0345
103     -0.0506     -0.5598     0.5621     0.9726     0.9726     0.9023     0.9397     0.7868     0.7927     0.0549     0.0339
104     -0.0591     -0.5765     0.5795     0.9753     0.9753     0.9023     0.9397     0.7868     0.7927     0.0566     0.035
105     -0.0541     -0.5715     0.574     0.9772     0.9772     0.9023     0.9397     0.7868     0.7927     0.0561     0.0346
106     -0.0458     -0.5755     0.5773     0.9768     0.9768     0.9023     0.9397     0.7868     0.7927     0.0564     0.0348
107     -0.051     -0.5707     0.573     0.9764     0.9764     0.9023     0.9397     0.7868     0.7927     0.056     0.0346
108     -0.055     -0.5722     0.5748     0.9783     0.9783     0.9023     0.9397     0.7868     0.7927     0.0561     0.0347
109     -0.0617     -0.5668     0.5702     0.9771     0.9771     0.9011     0.9385     0.7885     0.7943     0.0564     0.0351
110     -0.0564     -0.5709     0.5737     0.9764     0.9764     0.9011     0.9385     0.7885     0.7943     0.0567     0.0353
111     -0.0462     -0.5797     0.5815     0.976     0.976     0.9011     0.9385     0.7885     0.7943     0.0575     0.0358
112     -0.0511     -0.5751     0.5774     0.9779     0.9779     0.9011     0.9385     0.7885     0.7943     0.0571     0.0355
113     -0.0651     -0.5624     0.5662     0.9794     0.9794     0.9011     0.9385     0.7885     0.7943     0.056     0.0348
114     -0.0596     -0.5716     0.5747     0.9787     0.9787     0.9011     0.9385     0.7885     0.7943     0.0568     0.0354
115     -0.054     -0.558     0.5606     0.9768     0.9768     0.9011     0.9385     0.7885     0.7943     0.0554     0.0345
116     -0.0538     -0.58     0.5825     0.9791     0.9791     0.9011     0.9385     0.7885     0.7943     0.0576     0.0358
117     -0.052     -0.5786     0.5809     0.9787     0.9787     0.9011     0.9385     0.7885     0.7943     0.0575     0.0357
118     -0.0501     -0.5719     0.5741     0.9787     0.9787     0.9011     0.9385     0.7885     0.7943     0.0568     0.0353
119     -0.0439     -0.5852     0.5868     0.9768     0.9768     0.9011     0.9385     0.7885     0.7943     0.058     0.0361
120     -0.0583     -0.5884     0.5913     0.9787     0.9787     0.9011     0.9385     0.7885     0.7943     0.0585     0.0364
121     -0.0399     -0.584     0.5854     0.979     0.979     0.9011     0.9385     0.7885     0.7943     0.0579     0.036
122     -0.0529     -0.5912     0.5936     0.9779     0.9779     0.9008     0.9383     0.7879     0.7937     0.0589     0.0366
123     -0.046     -0.6003     0.6021     0.9809     0.9809     0.9021     0.9395     0.789     0.7948     0.059     0.0364
124     -0.0381     -0.6092     0.6104     0.9821     0.9821     0.9021     0.9395     0.789     0.7948     0.0598     0.0369
125     -0.0421     -0.6242     0.6257     0.9813     0.9813     0.9021     0.9395     0.789     0.7948     0.0613     0.0378
126     -0.0278     -0.6308     0.6314     0.9817     0.9817     0.9021     0.9395     0.789     0.7948     0.0618     0.0382
127     -0.0215     -0.6187     0.619     0.9795     0.9795     0.9021     0.9395     0.789     0.7948     0.0606     0.0374
128     -0.0144     -0.6138     0.6139     0.9798     0.9798     0.9036     0.9409     0.7906     0.7963     0.0592     0.0363
129     -0.0229     -0.6013     0.6017     0.9806     0.9806     0.9036     0.9409     0.7906     0.7963     0.058     0.0356
130     -0.0332     -0.6197     0.6206     0.9821     0.9821     0.9036     0.9409     0.7906     0.7963     0.0598     0.0367
131     -0.0259     -0.608     0.6085     0.9802     0.9802     0.9036     0.9409     0.7906     0.7963     0.0587     0.036
132     -0.0313     -0.6155     0.6163     0.9798     0.9798     0.9023     0.9422     0.7923     0.7979     0.0602     0.0356
133     -0.024     -0.6107     0.6112     0.9806     0.9806     0.9023     0.9422     0.7923     0.7979     0.0597     0.0353
134     -0.0244     -0.6031     0.6036     0.9829     0.9829     0.9023     0.9422     0.7923     0.7979     0.0589     0.0349
135     -0.0232     -0.6106     0.6111     0.981     0.981     0.9036     0.9434     0.7934     0.799     0.0589     0.0346
136     -0.0295     -0.6294     0.6301     0.9829     0.9829     0.9023     0.9422     0.795     0.8005     0.0615     0.0364
137     -0.0289     -0.6152     0.6159     0.9814     0.9814     0.8996     0.9397     0.7978     0.8031     0.0618     0.0372
138     -0.0307     -0.6246     0.6253     0.981     0.981     0.8971     0.9373     0.8011     0.8062     0.0643     0.0392
139     -0.0271     -0.6056     0.6062     0.981     0.981     0.8971     0.9373     0.8011     0.8062     0.0624     0.038
140     -0.0212     -0.6066     0.607     0.9821     0.9821     0.8971     0.9373     0.8011     0.8062     0.0624     0.0381
141     -0.0231     -0.5946     0.595     0.9813     0.9813     0.8986     0.9386     0.8027     0.8078     0.0603     0.0365
142     -0.018     -0.612     0.6123     0.9825     0.9825     0.8974     0.9374     0.8016     0.8067     0.0628     0.0383
143     -0.006     -0.6267     0.6267     0.9806     0.9806     0.895     0.9376     0.8022     0.8072     0.0658     0.0391
